,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Raudeberg,75,NO,1584476324,80,61.99,5.14,42.8,18.34
1,London,92,GB,1584476174,76,51.51,-0.13,52.0,8.05
2,Cape Town,12,ZA,1584476324,88,-33.93,18.42,68.0,11.41
3,Alanya,40,TR,1584476324,34,36.54,32.0,50.0,23.04
4,Mount Gambier,100,AU,1584476137,33,-37.83,140.77,71.6,14.99
5,Porosozero,99,RU,1584476324,92,62.72,32.73,32.09,14.7
6,Kununurra,40,AU,1584476325,83,-15.77,128.73,77.0,1.12
7,Hobart,75,AU,1584475987,49,-42.88,147.33,68.0,10.29
8,Punta Arenas,75,CL,1584476059,50,-53.15,-70.92,57.2,29.97
9,Rikitea,6,PF,1584476061,79,-23.12,-134.97,80.51,14.43
10,Qaanaaq,96,GL,1584476062,60,77.48,-69.36,-19.39,5.75
11,Meulaboh,100,ID,1584476151,84,4.14,96.13,79.07,9.71
12,Tura,0,IN,1584476032,43,25.52,90.22,66.29,1.97
13,Erenhot,100,CN,1584476131,32,43.65,111.98,39.29,9.95
14,Thompson,5,CA,1584476111,54,55.74,-97.86,-0.4,6.93
15,Bellmead,90,US,1584476326,65,31.59,-97.11,78.01,12.75
16,Klaksvík,0,FO,1584476143,64,62.23,-6.59,37.4,14.99
17,Plácido de Castro,100,BR,1584476326,95,-10.34,-67.19,80.87,3.56
18,Birao,20,CF,1584476125,15,10.28,22.79,84.47,8.66
19,Caniço,40,PT,1584476123,67,32.63,-16.85,59.0,17.22
20,Tsimmerbude,94,RU,1584476327,80,54.67,20.13,41.0,6.71
21,Puerto Ayora,20,EC,1584476327,66,-0.74,-90.35,84.2,13.87
22,Mahébourg,20,MU,1584476129,94,-20.41,57.7,75.2,2.24
23,Port Elizabeth,0,ZA,1584476104,82,-33.92,25.57,66.2,9.17
24,Ushuaia,75,AR,1584475870,47,-54.8,-68.3,57.2,4.7
25,Busselton,68,AU,1584476124,97,-33.65,115.33,52.0,17.16
26,Lebu,0,CL,1584476111,58,-37.62,-73.65,66.11,9.48
27,Sawtell,22,AU,1584476328,93,-30.38,153.1,60.8,8.05
28,Dikson,100,RU,1584476113,100,73.51,80.55,-3.19,6.64
